,SourceIP,DestinationIP,SourcePort,DestinationPort,Protocol,Duration,Sent_per_Flow,received_per_Flow,Total_Bytes_used_for_Headers
1035,104.21.45.16,192.168.43.20,443,51887,UDP,1646094939.695321,0,1242,1228
1036,192.168.43.20,104.21.45.16,51887,443,UDP,1646094939.695328,85,0,71
1037,104.21.45.16,192.168.43.20,443,51887,UDP,1646094939.69555,0,1242,1228
1038,104.21.45.16,192.168.43.20,443,51887,UDP,1646094939.695789,0,1242,1228
1039,151.101.129.69,192.168.43.20,https,51146,TCP,1646094939.69589,0,66,52
1040,192.168.43.20,104.21.45.16,51887,443,UDP,1646094939.696086,85,0,71
1041,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.700017,0,66,52
1042,151.101.1.181,192.168.43.20,https,48568,TCP,1646094939.700088,0,66,52
1043,151.101.1.181,192.168.43.20,https,48568,TCP,1646094939.701498,0,1454,1440
1044,151.101.1.181,192.168.43.20,https,48568,TCP,1646094939.701722,0,1454,1440
1045,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.703932,0,1454,1440
1046,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.703967,66,0,52
1047,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.70415,0,1454,1440
1048,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.704165,66,0,52
1049,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.704437,0,1454,1440
1050,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.704452,66,0,52
1051,94.130.124.115,192.168.43.20,https,34944,TCP,1646094939.704514,0,828,814
1052,192.168.43.20,94.130.124.115,34944,https,TCP,1646094939.704522,66,0,52
1053,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.704676,0,1454,1440
1054,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.704684,66,0,52
1055,94.130.124.115,192.168.43.20,https,34944,TCP,1646094939.7048,0,128,114
1056,192.168.43.20,94.130.124.115,34944,https,TCP,1646094939.704808,66,0,52
1057,94.130.124.115,192.168.43.20,https,34944,TCP,1646094939.704819,0,97,83
1058,192.168.43.20,94.130.124.115,34944,https,TCP,1646094939.70485,66,0,52
1059,151.101.1.181,192.168.43.20,https,48568,TCP,1646094939.705076,0,1454,1440
1060,151.101.1.181,192.168.43.20,https,48568,TCP,1646094939.705361,0,1454,1440
1061,151.101.1.181,192.168.43.20,https,48568,TCP,1646094939.708017,0,1454,1440
1062,151.101.1.181,192.168.43.20,https,48568,TCP,1646094939.708242,0,1454,1440
1063,151.101.1.181,192.168.43.20,https,48568,TCP,1646094939.709669,0,1454,1440
1064,151.101.1.181,192.168.43.20,https,48568,TCP,1646094939.710537,0,1454,1440
1065,192.168.43.20,91.239.157.136,48276,https,TCP,1646094939.711551,583,0,569
1066,192.168.43.20,151.101.1.181,48568,https,TCP,1646094939.712807,66,0,52
1067,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.7132,0,1454,1440
1068,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.713235,66,0,52
1069,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.713438,0,1454,1440
1070,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.713449,66,0,52
1071,94.130.124.115,192.168.43.20,https,34944,TCP,1646094939.714806,0,664,650
1072,192.168.43.20,94.130.124.115,34944,https,TCP,1646094939.714883,66,0,52
1073,94.130.124.115,192.168.43.20,https,34944,TCP,1646094939.714908,0,187,173
1074,192.168.43.20,94.130.124.115,34944,https,TCP,1646094939.714942,66,0,52
1075,94.130.124.115,192.168.43.20,https,34944,TCP,1646094939.714952,0,105,91
1076,192.168.43.20,94.130.124.115,34944,https,TCP,1646094939.714989,66,0,52
1077,151.101.1.181,192.168.43.20,https,48568,TCP,1646094939.71577,0,1454,1440
1078,151.101.1.181,192.168.43.20,https,48568,TCP,1646094939.71603,0,1454,1440
1079,192.168.43.20,151.101.1.181,48568,https,TCP,1646094939.716056,66,0,52
1080,151.101.1.181,192.168.43.20,https,48568,TCP,1646094939.718818,0,1454,1440
1081,151.101.1.181,192.168.43.20,https,48568,TCP,1646094939.719068,0,1454,1440
1082,185.51.200.2,192.168.43.20,domain,37347,UDP,1646094939.72132,0,147,133
1083,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.721558,0,1454,1440
1084,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.721586,66,0,52
1085,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.722462,0,1454,1440
1086,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.722497,66,0,52
1087,151.101.1.181,192.168.43.20,https,48568,TCP,1646094939.722564,0,1454,1440
1088,151.101.1.181,192.168.43.20,https,48568,TCP,1646094939.722746,0,1454,1440
1089,3.66.118.189,192.168.43.20,https,58652,TCP,1646094939.722882,0,342,328
1090,192.168.43.20,3.66.118.189,58652,https,TCP,1646094939.722906,66,0,52
1091,3.66.118.189,192.168.43.20,https,58652,TCP,1646094939.723049,0,1454,1440
1092,192.168.43.20,3.66.118.189,58652,https,TCP,1646094939.723058,66,0,52
1093,3.66.118.189,192.168.43.20,https,58652,TCP,1646094939.723325,0,1454,1440
1094,192.168.43.20,3.66.118.189,58652,https,TCP,1646094939.723342,66,0,52
1095,3.66.118.189,192.168.43.20,https,58652,TCP,1646094939.72348,0,1454,1440
1096,192.168.43.20,3.66.118.189,58652,https,TCP,1646094939.723489,66,0,52
1097,3.66.118.189,192.168.43.20,https,58652,TCP,1646094939.723595,0,195,181
1098,192.168.43.20,3.66.118.189,58652,https,TCP,1646094939.723602,66,0,52
1099,3.66.118.189,192.168.43.20,https,58652,TCP,1646094939.724285,0,104,90
1100,192.168.43.20,3.66.118.189,58652,https,TCP,1646094939.724347,66,0,52
1101,151.101.1.181,192.168.43.20,https,48568,TCP,1646094939.725643,0,1454,1440
1102,151.101.1.181,192.168.43.20,https,48568,TCP,1646094939.727055,0,1454,1440
1103,192.168.43.20,94.130.124.115,34944,https,TCP,1646094939.730825,150,0,136
1104,151.101.1.181,192.168.43.20,https,48568,TCP,1646094939.731999,0,1454,1440
1105,151.101.1.181,192.168.43.20,https,48568,TCP,1646094939.732245,0,1454,1440
1106,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.733063,0,1454,1440
1107,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.7331,66,0,52
1108,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.733307,0,1454,1440
1109,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.73332,66,0,52
1110,151.101.1.181,192.168.43.20,https,48568,TCP,1646094939.733572,0,1454,1440
1111,151.101.1.181,192.168.43.20,https,48568,TCP,1646094939.733836,0,1454,1440
1112,151.101.65.181,192.168.43.20,https,33496,TCP,1646094939.734456,0,74,60
1113,192.168.43.20,151.101.65.181,33496,https,TCP,1646094939.734508,66,0,52
1114,151.101.1.181,192.168.43.20,https,48568,TCP,1646094939.73732,0,1454,1440
1115,151.101.1.181,192.168.43.20,https,48568,TCP,1646094939.737551,0,1454,1440
1116,192.168.43.20,94.130.124.125,41044,https,TCP,1646094939.737559,583,0,569
1117,192.168.43.20,52.222.174.113,57302,https,TCP,1646094939.738339,153,0,139
1118,151.101.1.181,192.168.43.20,https,48568,TCP,1646094939.738516,0,1454,1440
1119,192.168.43.20,172.67.207.202,60456,443,UDP,1646094939.738591,84,0,70
1120,151.101.1.181,192.168.43.20,https,48568,TCP,1646094939.739277,0,1454,1440
1121,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.740177,0,1454,1440
1122,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.740218,66,0,52
1123,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.740398,0,1454,1440
1124,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.740409,66,0,52
1125,192.168.43.20,151.101.1.181,48568,https,TCP,1646094939.741744,66,0,52
1126,151.101.1.181,192.168.43.20,https,48568,TCP,1646094939.741963,0,1454,1440
1127,151.101.1.181,192.168.43.20,https,48568,TCP,1646094939.744337,0,1454,1440
1128,192.168.43.20,151.101.1.181,48568,https,TCP,1646094939.744376,66,0,52
1129,192.168.43.20,94.130.124.115,34944,https,TCP,1646094939.74471,97,0,83
1130,192.168.43.20,94.130.124.115,34944,https,TCP,1646094939.745246,105,0,91
1131,151.101.1.181,192.168.43.20,https,48568,TCP,1646094939.745473,0,1454,1440
1132,192.168.43.20,94.130.124.115,34944,https,TCP,1646094939.745844,90,0,76
1133,192.168.43.20,94.130.124.115,34944,https,TCP,1646094939.746025,66,0,52
1134,151.101.1.181,192.168.43.20,https,48568,TCP,1646094939.746358,0,1454,1440
1135,192.168.43.20,151.101.1.181,48568,https,TCP,1646094939.746395,66,0,52
1136,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.747812,0,1454,1440
1137,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.747846,66,0,52
1138,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.748037,0,1454,1440
1139,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.74805,66,0,52
1140,151.101.1.181,192.168.43.20,https,48568,TCP,1646094939.748305,0,1454,1440
1141,151.101.1.181,192.168.43.20,https,48568,TCP,1646094939.748592,0,1454,1440
1142,192.168.43.20,151.101.1.181,48568,https,TCP,1646094939.748619,66,0,52
1143,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.765904,0,1454,1440
1144,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.765941,66,0,52
1145,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.766129,0,1454,1440
1146,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.766142,66,0,52
1147,192.168.43.20,151.101.129.181,42814,https,TCP,1646094939.766313,74,0,60
1148,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.766406,0,1454,1440
1149,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.766426,66,0,52
1150,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.766661,0,1454,1440
1151,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.766672,66,0,52
1152,151.101.129.69,192.168.43.20,https,51146,TCP,1646094939.773691,0,348,334
1153,192.168.43.20,151.101.129.69,51146,https,TCP,1646094939.773726,66,0,52
1154,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.77508,0,1454,1440
1155,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.775114,66,0,52
1156,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.775237,0,1454,1440
1157,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.775244,66,0,52
1158,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.784337,0,1454,1440
1159,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.784377,66,0,52
1160,192.168.43.20,151.101.65.181,33496,https,TCP,1646094939.784873,583,0,569
1161,104.21.45.16,192.168.43.20,443,51887,UDP,1646094939.809099,0,1242,1228
1162,104.21.45.16,192.168.43.20,443,51887,UDP,1646094939.809188,0,318,304
1163,172.67.207.202,192.168.43.20,443,60456,UDP,1646094939.810039,0,69,55
1164,151.101.1.181,192.168.43.20,https,48568,TCP,1646094939.812479,0,1454,1440
1165,151.101.1.181,192.168.43.20,https,48568,TCP,1646094939.812678,0,1454,1440
1166,192.168.43.20,151.101.1.181,48568,https,TCP,1646094939.812702,66,0,52
1167,192.168.43.20,104.21.45.16,51887,443,UDP,1646094939.81301,86,0,72
1168,151.101.1.181,192.168.43.20,https,48568,TCP,1646094939.813522,0,378,364
1169,151.101.1.181,192.168.43.20,https,48568,TCP,1646094939.814413,0,500,486
1170,172.67.207.202,192.168.43.20,443,60456,UDP,1646094939.815588,0,1242,1228
1171,172.67.207.202,192.168.43.20,443,60456,UDP,1646094939.816261,0,1242,1228
1172,172.67.207.202,192.168.43.20,443,60456,UDP,1646094939.816478,0,1242,1228
1173,172.67.207.202,192.168.43.20,443,60456,UDP,1646094939.816577,0,70,56
1174,192.168.43.20,172.67.207.202,60456,443,UDP,1646094939.819093,85,0,71
1175,192.168.43.20,151.101.1.181,48568,https,TCP,1646094939.820385,66,0,52
1176,192.168.43.20,10.10.34.36,34278,https,TCP,1646094939.821175,74,0,60
1177,91.239.157.136,192.168.43.20,https,48276,TCP,1646094939.823754,0,66,52
1178,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.823993,0,1454,1440
1179,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.824013,66,0,52
1180,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.824274,0,1454,1440
1181,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.824289,66,0,52
1182,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.824537,0,1454,1440
1183,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.824545,66,0,52
1184,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.827139,0,1454,1440
1185,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.827164,66,0,52
1186,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.828519,0,1454,1440
1187,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.828554,66,0,52
1188,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.828743,0,1454,1440
1189,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.829022,0,1454,1440
1190,91.239.157.136,192.168.43.20,https,48276,TCP,1646094939.829282,0,1454,1440
1191,192.168.43.20,91.239.157.136,48276,https,TCP,1646094939.829301,66,0,52
1192,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.829535,66,0,52
1193,91.239.157.136,192.168.43.20,https,48276,TCP,1646094939.830009,0,1454,1440
1194,192.168.43.20,91.239.157.136,48276,https,TCP,1646094939.830035,66,0,52
1195,91.239.157.136,192.168.43.20,https,48276,TCP,1646094939.830122,0,216,202
1196,192.168.43.20,91.239.157.136,48276,https,TCP,1646094939.830129,66,0,52
1197,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.83413,0,1454,1440
1198,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.836174,0,1454,1440
1199,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.836402,0,1454,1440
1200,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.837188,0,1454,1440
1201,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.839686,0,1454,1440
1202,94.130.124.115,192.168.43.20,https,34944,TCP,1646094939.841826,0,66,52
1203,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.850261,66,0,52
1204,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.852216,0,1454,1440
1205,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.852424,0,1454,1440
1206,94.130.124.115,192.168.43.20,https,34944,TCP,1646094939.85308,0,66,52
1207,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.85495,66,0,52
1208,172.67.207.202,192.168.43.20,443,60456,UDP,1646094939.855212,0,74,60
1209,192.168.43.20,91.239.157.136,48276,https,TCP,1646094939.856298,130,0,116
1210,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.857442,0,1454,1440
1211,192.168.43.20,91.239.157.136,48276,https,TCP,1646094939.86482,236,0,222
1212,192.168.43.20,91.239.157.136,48276,https,TCP,1646094939.864866,374,0,360
1213,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.866456,0,1454,1440
1214,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.866528,66,0,52
1215,94.130.124.125,192.168.43.20,https,41044,TCP,1646094939.866551,0,66,52
1216,94.130.124.115,192.168.43.20,https,34944,TCP,1646094939.866591,0,66,52
1217,192.168.43.20,94.130.124.115,34944,https,TCP,1646094939.866601,66,0,52
1218,192.168.43.20,94.130.124.120,35352,https,TCP,1646094939.867452,109,0,95
1219,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.867555,0,1454,1440
1220,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.867777,0,1454,1440
1221,151.101.129.181,192.168.43.20,https,42814,TCP,1646094939.867856,0,74,60
1222,192.168.43.20,151.101.129.181,42814,https,TCP,1646094939.867889,66,0,52
1223,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.875332,0,1454,1440
1224,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.875548,0,1454,1440
1225,52.222.174.113,192.168.43.20,https,57302,TCP,1646094939.880963,0,413,399
1226,192.168.43.20,52.222.174.113,57302,https,TCP,1646094939.881035,66,0,52
1227,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.882037,0,1454,1440
1228,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.884267,0,1454,1440
1229,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.892108,0,1454,1440
1230,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.892346,0,1454,1440
1231,192.168.43.20,172.67.207.202,60456,443,UDP,1646094939.90381,86,0,72
1232,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.904073,66,0,52
1233,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.906408,0,1454,1440
1234,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.906442,66,0,52
1235,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.906806,0,1454,1440
1236,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.906819,66,0,52
1237,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.906831,0,1454,1440
1238,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.906864,66,0,52
1239,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.907055,0,1454,1440
1240,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.907062,66,0,52
1241,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.913101,0,1454,1440
1242,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.913138,66,0,52
1243,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.913351,0,1454,1440
1244,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.913364,66,0,52
1245,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.918363,0,1454,1440
1246,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.918435,66,0,52
1247,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.918623,0,1454,1440
1248,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.918638,66,0,52
1249,192.168.43.20,151.101.129.181,42814,https,TCP,1646094939.919288,583,0,569
1250,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.924209,0,1454,1440
1251,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.924335,66,0,52
1252,94.130.124.125,192.168.43.20,https,41044,TCP,1646094939.924399,0,1454,1440
1253,192.168.43.20,94.130.124.125,41044,https,TCP,1646094939.924407,66,0,52
1254,94.130.124.125,192.168.43.20,https,41044,TCP,1646094939.924512,0,1454,1440
1255,192.168.43.20,94.130.124.125,41044,https,TCP,1646094939.924521,66,0,52
1256,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.924782,0,1454,1440
1257,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.924792,66,0,52
1258,94.130.124.125,192.168.43.20,https,41044,TCP,1646094939.925457,0,1454,1440
1259,192.168.43.20,94.130.124.125,41044,https,TCP,1646094939.925476,66,0,52
1260,94.130.124.125,192.168.43.20,https,41044,TCP,1646094939.925562,0,186,172
1261,192.168.43.20,94.130.124.125,41044,https,TCP,1646094939.925567,66,0,52
1262,192.168.43.20,142.250.75.226,42672,https,TCP,1646094939.929691,133,0,119
1263,94.130.124.125,192.168.43.20,https,41044,TCP,1646094939.937293,0,1454,1440
1264,192.168.43.20,94.130.124.125,41044,https,TCP,1646094939.937323,66,0,52
1265,94.130.124.125,192.168.43.20,https,41044,TCP,1646094939.937384,0,367,353
1266,192.168.43.20,94.130.124.125,41044,https,TCP,1646094939.937388,66,0,52
1267,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.937563,0,1454,1440
1268,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.937571,66,0,52
1269,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.937835,0,1454,1440
1270,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.937844,66,0,52
1271,151.101.65.181,192.168.43.20,https,33496,TCP,1646094939.937929,0,66,52
1272,151.101.65.181,192.168.43.20,https,33496,TCP,1646094939.938517,0,1454,1440
1273,192.168.43.20,151.101.65.181,33496,https,TCP,1646094939.93853,66,0,52
1274,151.101.65.181,192.168.43.20,https,33496,TCP,1646094939.938676,0,1454,1440
1275,192.168.43.20,151.101.65.181,33496,https,TCP,1646094939.938682,66,0,52
1276,151.101.65.181,192.168.43.20,https,33496,TCP,1646094939.93894,0,1454,1440
1277,192.168.43.20,151.101.65.181,33496,https,TCP,1646094939.938945,66,0,52
1278,151.101.65.181,192.168.43.20,https,33496,TCP,1646094939.939112,0,657,643
1279,192.168.43.20,151.101.65.181,33496,https,TCP,1646094939.939118,66,0,52
1280,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.940691,0,1454,1440
1281,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.940717,66,0,52
1282,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.941431,0,1454,1440
1283,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.941451,66,0,52
1284,192.168.43.20,151.101.65.181,33496,https,TCP,1646094939.942545,159,0,145
1285,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.946021,0,1454,1440
1286,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.946055,66,0,52
1287,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.946266,0,1454,1440
1288,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.946273,66,0,52
1289,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.950677,0,1454,1440
1290,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.950712,66,0,52
1291,192.168.43.20,94.130.124.125,41044,https,TCP,1646094939.950847,130,0,116
1292,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.950897,0,1454,1440
1293,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.95091,66,0,52
1294,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.952248,0,1454,1440
1295,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.952283,66,0,52
1296,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.952401,0,1454,1440
1297,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.952407,66,0,52
1298,192.168.43.20,94.130.124.125,41044,https,TCP,1646094939.953566,236,0,222
1299,192.168.43.20,94.130.124.125,41044,https,TCP,1646094939.953609,330,0,316
1300,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.955316,0,1454,1440
1301,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.955377,66,0,52
1302,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.96422,0,1454,1440
1303,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.964362,66,0,52
1304,91.239.157.136,192.168.43.20,https,48276,TCP,1646094939.964414,0,66,52
1305,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.965514,0,1454,1440
1306,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.965539,66,0,52
1307,192.168.43.20,104.21.45.16,51887,443,UDP,1646094939.970906,1230,0,1216
1308,192.168.43.20,104.21.45.16,51887,443,UDP,1646094939.971845,84,0,70
1309,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.978385,0,1454,1440
1310,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.978426,66,0,52
1311,91.239.157.136,192.168.43.20,https,48276,TCP,1646094939.979056,0,594,580
1312,192.168.43.20,91.239.157.136,48276,https,TCP,1646094939.979074,66,0,52
1313,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.979324,0,1454,1440
1314,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.979334,66,0,52
1315,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.979588,0,1454,1440
1316,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.979597,66,0,52
1317,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.980452,0,1454,1440
1318,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.980486,66,0,52
1319,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.980582,0,1454,1440
1320,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.980587,66,0,52
1321,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.980922,0,1454,1440
1322,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.980942,66,0,52
1323,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.981119,0,1454,1440
1324,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.981131,66,0,52
1325,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.984016,0,1454,1440
1326,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.984052,66,0,52
1327,91.239.157.136,192.168.43.20,https,48276,TCP,1646094939.984729,0,66,52
1328,91.239.157.136,192.168.43.20,https,48276,TCP,1646094939.984756,0,97,83
1329,192.168.43.20,91.239.157.136,48276,https,TCP,1646094939.984801,66,0,52
1330,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.984901,0,1454,1440
1331,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.984907,66,0,52
1332,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.985056,0,1454,1440
1333,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.985061,66,0,52
1334,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.985229,0,1454,1440
1335,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.985239,66,0,52
1336,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.985394,0,1454,1440
1337,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.985406,66,0,52
1338,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.985564,0,1454,1440
1339,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.985573,66,0,52
1340,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.985833,0,1454,1440
1341,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.985854,66,0,52
1342,195.181.164.178,192.168.43.20,https,33592,TCP,1646094939.986045,0,1454,1440
1343,192.168.43.20,195.181.164.178,33592,https,TCP,1646094939.986054,66,0,52
1344,91.239.157.136,192.168.43.20,https,48276,TCP,1646094939.98627,0,1454,1440
1345,192.168.43.20,91.239.157.136,48276,https,TCP,1646094939.986291,66,0,52
1346,91.239.157.136,192.168.43.20,https,48276,TCP,1646094939.986301,0,69,55
1347,192.168.43.20,91.239.157.136,48276,https,TCP,1646094939.986336,66,0,52
1348,91.239.157.136,192.168.43.20,https,48276,TCP,1646094939.986425,0,1454,1440
1349,192.168.43.20,91.239.157.136,48276,https,TCP,1646094939.98643,66,0,52
1350,91.239.157.136,192.168.43.20,https,48276,TCP,1646094939.986527,0,69,55
1351,192.168.43.20,91.239.157.136,48276,https,TCP,1646094939.986531,66,0,52
1352,91.239.157.136,192.168.43.20,https,48276,TCP,1646094939.987449,0,1454,1440
1353,192.168.43.20,91.239.157.136,48276,https,TCP,1646094939.987478,66,0,52
1354,91.239.157.136,192.168.43.20,https,48276,TCP,1646094939.989559,0,1454,1440
1355,192.168.43.20,91.239.157.136,48276,https,TCP,1646094939.989597,66,0,52
1356,91.239.157.136,192.168.43.20,https,48276,TCP,1646094939.989783,0,1454,1440
1357,192.168.43.20,91.239.157.136,48276,https,TCP,1646094939.989797,66,0,52
1358,91.239.157.136,192.168.43.20,https,48276,TCP,1646094939.990018,0,1454,1440
